organization_id,user_id,review_id,created,created_by,updated,updated_by,active
5298ab44-bf00-4b0d-b68a-40e2fc5044b0,90753af5-5ff8-4bfe-a427-b8f928754215,613ee791-238c-4d11-a707-ebf81e0d70b7,8/28/2015,d7312522-07b8-4a32-9abb-df199a6b23ad,8/2/2015,4868073b-ba73-4c14-862e-b06609daf3a5,false
097f6576-54c2-424a-8196-28c698d016b8,2aa2294c-fa2b-4813-92f4-934ede54795d,244dd0ca-55f1-4bec-990c-cb323249b2d9,11/19/2015,a8cd1bdb-3b7d-481d-9ed1-770a30a47cbb,,,true
8b0783fe-61fc-4934-b5ba-ff08f348dada,2603b8f4-1439-48ed-be9c-148613b3fefc,c45bddc7-bb77-4977-8fb5-7c82a62060ff,4/3/2016,bb8f1db0-e82e-4db4-abb7-f63ec7358059,,,false
ff0c22f0-1e50-43da-b5a6-bb9366b27a5b,e84ddeec-6903-4234-b34b-5bcbc80da957,72132a9e-7b84-48ed-9e1d-38bf02445246,8/27/2015,40d5db54-b9f1-4e45-8049-f490129d64d5,,,true
04132431-5807-477b-999a-e38a47fa3d2b,343196df-622b-40ed-8c43-26b679dd94cb,147fdf0e-9653-4e68-ad43-183c7105c0ca,9/18/2015,e83ee78c-18e7-4c6b-8a89-c7a3266e5dce,,,false
e5fd7f3d-414d-4a1d-8a1b-0c2e5e492a15,58010162-1ee9-4555-aa05-77ad0481f722,ddb5dc8d-f0f0-4538-a529-672c244981c1,9/18/2015,14ee46fa-e394-45c5-b7b4-acccbb0b68c4,,,true
bd16f52a-8c99-4faf-995d-7f6b0e7951c3,6c1cde6f-deb0-4099-b3b1-3a4a366f246c,54b624e3-8c1c-452c-8a8f-668361044664,10/22/2015,da88a2b9-73c1-46df-a2b2-efba1f610c3d,,,false
92e370e5-991e-47a0-8665-5822ab3ccb28,8759af77-1c95-4ff1-ad21-7e84af0f5fc0,3fd42f41-ec22-4acd-84c2-97d66ad47d47,12/21/2015,69eb6d81-3cd1-462b-aabd-736b50a5130e,,,true
5533255e-d665-4c1e-b7e0-4d94486f1b6b,6b723451-23dd-45c2-a3e5-d6a24474c73f,c7181a73-c4d3-4582-a080-95bbceab893a,7/15/2015,4dc73fa4-79a4-4ba0-a214-c55ea0d58103,,,false
9d18e0ba-cab6-49a1-b29e-d3fb3dfdc33f,9141297d-f1ab-43a2-a22b-9ee52129bdde,0f4fe0e7-6180-4dfd-bf9e-4d171109bdff,2/28/2016,7bcd0857-dbd3-42a8-8507-74bf8f07e1da,,,true
c44f0ee0-dcda-44a0-a886-fed5be4ff17a,f702d93a-b1b2-4f4e-ace1-9ddbed92888f,82ec4d48-e73f-4486-8cfd-6f403bed5c51,2/5/2016,d76ac017-d789-4af4-9f16-5b3759d8401d,,,false
b1aeae57-2735-4669-b7be-7a70ab07c5a1,12217168-6333-468b-9377-34ebe90fc516,1021d210-7608-4342-891e-8d169e045161,8/8/2015,5eda9566-5416-4b69-af50-8d59193e94f3,,,true
