organization_id,cart_id,cart_line_id,product_id,qty,created,created_by,updated,updated_by,active
dee59984-3e37-417f-88b3-ec68135a76e5,0185d078-2ed8-4c72-b12c-74afa80b4187,0b8bf305-6bda-4e51-85be-7900b216e2d3,6886bf44-dc93-4a6a-9603-90231f75e86f,68.49,2/21/2016,f279c6ea-2571-4d40-9b5b-78a1caf7b0b2,,,true
4df6d26a-3a4f-466c-bf54-68c56b992afd,2a0ec63e-736f-4b5b-8f61-efccb23e3b6d,863a5318-2203-48fc-97ed-b20e1643d4cc,405a3cc5-d732-4a9c-ace6-a7c5b722f538,23.76,8/18/2015,324f194f-7ecf-42cc-b657-95461dfdc12f,,,false
bd48b51e-8515-4609-b384-a17f2f7bd884,f9361238-daa5-4f5a-8ba7-e35321917f0c,4832e1ca-f54b-4352-95f6-f30821d8748f,2f1f24d6-9eea-467c-9295-dca696a55f8f,96.25,12/26/2015,7fb1e315-272e-48af-a190-936bd977feea,,,false
dff9cdb1-d35e-4774-b5a4-9138e7b038e2,2cb57818-3c5e-4b44-a66c-86c2e858ae33,7c7ab975-b15d-4481-b323-de407c37759c,24e5c63f-e848-421f-8fbb-0e1b0a1ce677,35.97,7/25/2015,b32a0aad-a9c5-4751-8728-5cb2e773b1d2,,,true
91d4609a-9690-45de-ba42-c376e80771be,84c5bb13-35e2-464c-a8a2-9f4e21e8dbe3,8d32e495-2192-47dd-b2fe-5b40d494b948,7316f281-9376-4806-b1b4-f9d22645c8e5,24.71,4/20/2016,3d83f5ef-0642-48fb-9652-b557a003ace0,,,true
c11aec97-ae4e-45fa-af2b-c347cd727af0,262baead-74f3-40a4-bdea-351a38f7cbbf,bb2bedd0-ef93-47f0-aedc-a372e827a9d2,7efb1329-e536-415d-a927-975dacf4ab15,6.63,8/22/2015,3f5d9796-426b-424c-83ac-fcf2336d04a7,,,false
24a196a2-a782-4f06-847b-b2c19f9cb2db,cc58a611-3dc0-4537-aec7-9c6bff11b1e6,c637c633-706d-4ccb-a1f2-0262bcb536be,78c24af2-bc43-4c85-9421-ffb210d50db9,81.25,3/27/2016,27dca9e3-2991-4027-af5e-c9f2baf1172c,,,false
68492800-2639-4f7e-a5d4-355790e4ed5e,cee52621-1de3-490d-b0e5-0d9ae749fa77,c45ce462-abf3-4ce3-beba-7e68e1737e35,033794c9-0cb9-4a81-8dfe-8507641fd07a,84.68,6/3/2016,cdb8e602-a5b0-4036-97eb-e323453d65f1,,,false
fd0d60b4-a825-448f-a44b-8dcf0808368c,ccf095a1-d854-4063-9bdf-a5d403e4e50c,59765b21-b2a7-4f9c-ba46-c56136dc531f,fb0768f8-f0a8-4620-a4cd-3ca262c80daa,92.74,1/5/2016,fc467316-190b-4e98-a39e-d461cd55d3c5,8/8/2015,bd6e5df4-84ca-449e-856f-006da43e2ef2,false
4dc4cacc-0a15-49b3-8613-681078658782,40240664-0583-4fc8-b3e1-c61f2ac7fb9d,f49d7e5b-2915-4f0d-a52a-a208ff86f23a,ec6efd51-f74d-4ffb-8bef-53772a8ed2ff,48.93,8/17/2015,fc1874bc-fe73-46c9-89c4-5d8bac0e5682,,,false
