client_id,name,description,created,created_by,updated,updated_by,active
e505b1b5-51f4-426f-b26a-4940ff4bb3ba,Quire,,10/28/2015,,6/3/2016,,false
ebd6b1e4-51ed-485e-9f12-401b3b126776,Babbleblab,,5/22/2016,,9/9/2015,,false
ef151a7c-1eab-4ade-a820-b356103af7df,Avamba,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2/17/2016,,4/20/2016,,true
1d244f46-ecef-42ac-9a4a-b6aff50454e5,Aimbu,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,12/26/2015,,6/21/2016,,false
4420560c-863b-4f5a-bedb-d9ab2f61034a,Ntags,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",6/10/2016,,1/31/2016,,false
990f88fc-78e1-495d-bf00-ee1eb0ded39b,Meezzy,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",6/6/2016,,3/31/2016,,true
2b87f21e-7759-40a9-858f-5a7357abacec,Browsetype,,4/16/2016,,8/29/2015,,false
cea50e18-d14a-459a-b030-e9a52b9e90b7,Eadel,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,7/11/2015,,4/12/2016,,false
27c0eb74-0fcb-4e99-a5c2-c5be662ac7dd,Twiyo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",1/14/2016,,1/9/2016,,true
6fe92b05-de48-4e77-958b-7dacf661b575,Agimba,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,12/18/2015,,4/26/2016,,false
