organization_id,exchange_rate_id,exchange_rate,from_currency,to_currency,created,created_by,updated,updated_by,active
e2ea7d0d-aaaf-4ab1-9a51-d23d54a04589,6b140154-206d-4908-ba67-e487dba9aa38,43.77,05824ecb-19b8-4b20-bb02-1f08cd77fa6c,05e10dc6-14f5-4754-ba0c-ae810e944dcf,9/10/2015,5affc57e-4c51-48d2-95f6-dcd61f357cf4,,,false
cce157d5-0685-4aac-8c89-d13e30a78609,d88f2eda-e278-455b-b4ba-a99082481fcf,32.1,505d2da9-6424-4b93-84f4-13b3e0ed1516,4fa8abb1-e670-4b33-8cea-a374a97650df,4/9/2016,20885647-8e5c-46db-a1c1-c18795caac0d,12/31/2015,ba4f444b-f31e-40f4-92dd-60f0db089f63,true
6293ee05-883b-4928-ad1b-6e8e726faae4,26fa9836-dee3-4665-bc53-aece5afb48c9,72.06,23327e63-7100-4662-84f8-e7cc1f4faa34,636dbbcb-d231-42c2-b0a6-c95b9e8baa22,2/22/2016,e17ef23e-189d-46ac-8fe9-7bdb07da7316,,,false
4442bff3-11dd-4063-a500-fe415599ba94,79c1a914-3e69-4e4e-8189-623c5b1eb3f5,47.7,ba324145-8fe5-4871-9758-59dd78e78fe8,a60c99f3-510f-4db4-9a32-9c104ead7f11,1/21/2016,6f9508ad-afee-4f73-8ed5-1d6c461ac255,,,true
4aff1296-e41b-40bc-baf3-0286797967ee,6286671f-5844-4c9c-973e-50a972f31e80,12.92,a60c99f3-510f-4db4-9a32-9c104ead7f11,c22d86ab-663d-4d91-bbb9-0670d50aa3b1,4/16/2016,7bcd0857-dbd3-42a8-8507-74bf8f07e1da,,,false
2c6f181f-fca0-4bda-9624-78d772f84e63,a36ccca2-07f3-496e-bfe8-9fbbaaa56160,86.85,8c13d99c-bbf0-4a42-8486-6ae044c08795,4fa8abb1-e670-4b33-8cea-a374a97650df,8/14/2015,e6b07136-1ea6-44cb-8776-15ab07a525c0,9/10/2015,ae594114-b5b5-4aa7-8bdb-44c4561d3372,false
51a95404-b7dd-447d-b12a-ce425c5e6bb0,6e279f6c-f0d0-447b-8728-43b8e4a3f22b,74.35,1cc9411d-be1f-49ad-b268-261b33fd615c,05824ecb-19b8-4b20-bb02-1f08cd77fa6c,1/23/2016,900f9a18-c1d4-42e4-99f3-642b6380c3fa,,,true
c7c20ccc-29ae-4b85-8165-df5b4105df73,99df3252-af65-47b1-930e-a036506c4d78,10.88,1cc9411d-be1f-49ad-b268-261b33fd615c,505d2da9-6424-4b93-84f4-13b3e0ed1516,8/14/2015,5eda9566-5416-4b69-af50-8d59193e94f3,,,true
b2a3bd5b-f743-4d93-a496-40559860c9fb,1599dfdb-5713-4d2a-abd5-0fd311436a12,2.91,22ed061d-0c46-4f60-b011-0f5955e8db0a,f3b80e81-2186-4dd3-8dc3-8e93df39413f,6/2/2016,45e83c10-2c14-4d6a-ac1b-f9c34a919fe1,6/6/2016,cf120cbd-8440-4a49-90d5-74c10045f83e,false
91d4609a-9690-45de-ba42-c376e80771be,9de4a560-8def-4350-a177-a2be7d2cbf54,90.16,425ca133-9723-4a1e-b410-66d5fd732948,83e5baa4-bde6-4b52-ac4a-48d319ac98f1,12/22/2015,d59d8334-059b-470a-a277-f2cdc7504acb,,,false
