organization_id,order_line_id,order_id,product_id,price_momentary,freight_amt,discount,qty_ordered,created,created_by,updated,updated_by,active
13ba9046-3d08-4173-9db3-147b80d3e05a,4ae47860-c3b3-4288-8bf0-ce8d008da2e4,a6830b94-5c24-46f5-a2f8-1c28e30c7cfb,80cbf401-c6ce-49de-ab3b-ecb834d38f66,412.01,143.54,,61,8/8/2015,b72f2678-fda7-4216-8c70-0e63275f5c69,,,true
cf6c8d3b-96c8-461c-8f98-8c1178b4482f,163d91f4-4107-46df-ab47-fb0ed6ec60e7,068df1cf-6027-4d34-b72a-5d9d074bda8a,691bd285-42e1-4768-a5a7-de4b7ac480f1,254.52,,,61,7/10/2015,09499c93-03a7-4bc4-9904-6f415343f09f,,,true
4d17cecd-3077-45ed-91ac-437c38f1a0e9,02adacd7-e429-4fce-9d31-56c9004e9d1a,c333a0c8-4b5e-4f48-bd9a-b13c7b5604b0,139178ad-263d-4b57-bdba-8f7fa518e0cd,478.59,,,41,3/2/2016,f1af38cf-4042-4be5-a1e1-1a540a533d69,,,false
f6c66517-e666-4460-99c2-376d035685a3,ad268192-5848-4586-9224-6b00ea2009e4,1942e448-0071-4807-a716-b660c1c699da,c2ee7983-445c-403e-8763-119dd603dc90,31.94,,,38,10/21/2015,0dddfdb3-32a5-4ba4-9130-e8a38827e10a,,,true
bb69a313-c0b4-419b-ae0b-a8e4d0a29150,3f93c91f-ab2c-44bf-b9b2-e8db8ea20f88,1fb1afdb-2d7a-4e41-b1fd-51f7a6e803e0,55680173-a0d5-4e74-b7a0-3b4841f3e89b,207.74,,,25,10/13/2015,b2d67f7a-8008-43af-8a51-a57060236af3,,,true
9415d8ca-880f-44f1-a057-dbc76dce9a9e,cf28a013-3c99-4db5-817b-1e7d2af74ec4,79bb5420-4010-4842-bd38-b6500f76db5a,61bd1132-8dd2-4042-94ba-b960e56835a3,299.18,,,51,7/2/2015,e841a042-248f-416c-a22b-92f6ae3af7f5,,,false
cd884abf-8a99-4dc6-a927-6738d7ef497e,5a8eefd2-9406-4d95-a222-c03da85814de,14a544e0-6633-4037-8024-d84c6bec5533,9144073b-ca5a-4faf-a7ab-4e6372b69511,431.06,57.64,,94,5/23/2016,e841a042-248f-416c-a22b-92f6ae3af7f5,,,false
acf585cc-cb85-4029-a38d-fbb1a7654860,6d65feb7-5d55-4adb-8518-860e0788a385,fbcb9e3c-680a-4a21-8e2d-a9a7787f2ac4,5a55c38a-9e67-4ce1-b100-a78b30ce5961,430.24,,,57,11/16/2015,a2b29208-9a59-4789-91c9-6c758c66f005,,,true
6a96892f-2f1d-437b-ba45-12e15f1cfcb2,274f6235-28fb-406d-b43e-a9c927ebebad,ca0c0f32-282e-4c9a-bb9b-001d8da01e88,7986dd9d-dbd8-47f8-bb12-8c537898dd61,134.57,70.26,,84,4/13/2016,aba9548b-2645-439e-813c-cdc4f903e64a,,,true
90be572a-a3b9-4f77-9ae4-70eb40249722,c77ed86b-cf18-466f-8e65-41fdb24e4d83,03b0f219-fab3-4f2d-bfc5-cd576a7062f5,1a796496-c4e6-4703-b591-1bc15bf6830c,127.4,,,51,1/16/2016,ffe18685-13f5-4228-8a1e-bbc29ff8aa1e,,,true
b3745883-07f2-4a0a-94bc-950136f47ce8,913fb208-d65f-4545-8061-76726ff239b2,5fc4cbd4-cd9b-4e2d-8168-4d88bc06805d,46db70b6-2357-4520-a1a2-d9fc28939436,495.79,,,97,4/3/2016,fbe34e7a-30aa-444c-bf82-2e0be58fe4c3,,,true
9f8a6384-ef88-49b7-afc1-3252c24a9e3f,32af7980-5cc8-4f88-94db-6c9d9e9b9704,de9bb0f3-9325-4f5f-b873-8bb456177971,cd8d4698-b48a-454f-8a4c-0b66fc3a528a,348.18,,,33,2/8/2016,b8c9a69f-96b5-4b8e-baa0-8c49918573a9,,,true
b092484f-e8ee-4c8c-9345-07c75a7fd316,1c286dcd-b1ce-472b-9b47-93f68741d4ae,b53c7cc5-da68-4977-a167-787bd9862bb6,4804d58d-3623-4450-b9ab-028f2dca0120,291.34,27.31,,50,10/29/2015,37f5464d-464c-4574-a9c3-9493e12e091c,,,true
6ccaa165-d7fb-4c75-a07f-bd8731d9b750,66c607df-7155-4633-8b38-533f095c01de,f3b96de6-14f7-4245-808b-ad0f51d5d325,33659840-4196-47d8-9f2d-d22be946cb13,347.63,130.38,,76,12/30/2015,0582b96a-ae01-4889-8526-2e8b5c29ed72,,,true
ac8caca3-84b1-4dc5-9bde-e2ec1ea21fa2,35237b38-6b79-40ea-8364-0cc14db9435e,c1cad973-bdb9-4fcb-80fb-75498670ec1c,456c0ed1-602b-45d8-86d0-0bc924c213e4,442.37,163.92,,73,2/23/2016,efa26452-4628-438f-85e9-d89d15358a84,,,true
195db6b2-00cc-49ce-a433-6100c7e4f2e6,d722463f-3ca1-4325-8dac-5698b5216bb8,34b6412d-95c4-45a2-a860-2deac8ce4b98,c7897c78-47db-4563-9cc1-b9c45e8117b0,345.37,,25.92,51,12/1/2015,f7ab8544-52df-4e7f-84a9-0b9a9319d3f0,7/23/2015,1d5b7ea1-b407-4a3a-92a1-157a6ffe8027,true
1c1398f9-fb69-4938-8f60-ceafecedb878,f10daabf-387f-45a6-bb70-db9d35fd1a7a,c0dcc351-5560-436e-9b7b-c49394b8850b,1601708c-02d7-4bf7-bb73-05c498d87cab,489.85,,,24,12/4/2015,84ba5421-7859-41f7-b468-2a47f6a30365,,,false
c17d90ec-a82b-465c-8b99-ecbc4dbedebf,dba2d2d5-0fca-4844-8122-7088676f2a68,3e93d9fe-74db-4f7f-a0a4-adb994c69fef,a911b5d1-32fc-4669-aeb6-8c35e0f0fa71,382.34,,,16,3/3/2016,42e8faf7-2499-4313-82f8-e0cddd58146b,,,false
f0b0aa19-8590-4356-9ac4-30c90d02fd88,b30d94ef-dc2c-4846-a766-8f602c8524f2,6c9d989e-b985-4c61-9b08-110fbaf62742,90c53e41-74a3-45a4-a530-3f5423c33a2f,495.18,,,97,2/27/2016,91f93ca0-4215-466d-a175-970d3578cab6,,,false
78427543-9b19-46e6-abe7-b577c2db9dda,e5aaf80e-9513-4bf9-a722-fb553580d0c1,4f73fc83-63fc-4b9d-a478-ee548aeecfdf,6f982db1-0d36-411c-83aa-c09dc596df3a,464.57,110.14,,59,9/19/2015,db04515c-092a-4382-aaff-df9ea9cfedef,,,true
1b3498c3-d824-41d6-bf9f-dadbf7ecd0ec,aa932274-a096-4afe-8522-fdf250f114e6,43e516e0-7740-4fe0-9197-fabc6188030a,8f49dbc9-c77c-4483-bb95-a9a0c8031a3b,147.46,,,75,7/26/2015,c31b711b-67ba-4053-b713-95d77fdeea58,,,false
28226eee-0539-4652-b959-fcdb67301414,45fd06df-4e4b-4ff0-a235-d7ff0c5151ea,6fdd09d3-eda8-43b5-9ef4-2ccac4c509d1,d0593b96-aed4-46f4-ae24-5e6fa232d08e,264.15,,,89,1/15/2016,6ee350ae-f136-42b3-9382-984118907200,,,false
63b8a1fc-f043-4d96-90b8-8f97450590a5,3ae00b84-ad23-4392-9bd9-52cc86592ad5,737e1a9e-d96a-4d9d-92a1-8256ecf90d4e,3f92a0d9-b74c-4763-90ed-fc7615680251,128.4,,,94,5/21/2016,d2fbf6e4-3744-405d-a716-df563a9cf2fc,,,true
6722cab6-4939-4486-aa49-bfc54828a5eb,4cda2855-1b62-40fa-9c73-8f28f2ffa75c,a263005b-a2de-4b51-a844-f68ae2502719,6a340468-0587-4db8-86a5-3f8d236545f1,449.81,,,40,4/5/2016,5315ca78-6ed0-4a89-93b9-afe3702429b4,,,false
57b4935e-a669-4db2-900e-27f4cadf08e0,b9e38a24-67c8-49b6-811d-3cce8f2ac6a6,29a378d3-c094-4c29-b076-e9238fc7aeb2,c1ebde3b-8359-477e-811f-616a1da11190,463.13,,,26,7/6/2015,2206c77d-25e4-4fde-b0ae-1aac0deed88a,,,false
0fb1193f-380f-42e7-870c-83a8349b10e8,8715a713-a005-41ac-a22a-5feb5e7333ca,8d96a0f7-9077-41c5-8fad-66b3f9aee532,3bc6fdad-777b-4130-91ec-f3b7076d08d3,5.16,,,37,9/24/2015,9141297d-f1ab-43a2-a22b-9ee52129bdde,,,false
ca61d991-14bb-42b9-9868-2efa09d6e0dc,9c025171-97bf-49b7-9b9d-7f858f5a512d,a8d41a16-a4e4-4d38-a4d0-b42cf09fccc2,3a953449-155b-419e-9144-2a2ce016b66c,216.65,,37.64,46,9/22/2015,1ad0776c-74db-4fe9-9431-b9b4c4e2c5ef,11/18/2015,63691fe0-3a8f-49f0-afff-fd0f90b44ed8,false
df40cf8d-6d05-468f-ab60-3701272f2153,edaf76ca-0f51-4698-9450-59025d56b115,67ab97c6-13a0-4752-9991-c48e8ecdcfcf,21c0bed4-5918-403d-8c7c-4eb51c007711,481.83,,,88,9/26/2015,ec9c2878-f61c-4a26-b487-f041f31c87f1,,,false
9bcae493-dae1-4def-baa8-8de73b1df498,1350318f-7b46-443d-813d-f9fe8a64198a,b6e94ba3-eae9-4ca9-bc07-be0b93abc651,756ca8ca-b0fb-4908-865d-d980a60d01fb,177.91,,,60,11/19/2015,6852c759-572f-4299-a9d7-04a57cced00e,,,false
93cfb12c-c34f-4558-b576-208dfdf773b9,afd0be1d-e627-46f7-b3ed-70b39ebb0921,ed9dbfa2-d5a4-482a-9f7b-d3d707b7c014,85610436-a643-467d-8f2e-f8af2a552352,445.77,,,43,6/27/2016,b5ab7819-0ad8-4324-9f3a-37a69d7c2eb1,,,false
d2b071e9-d06f-4165-a929-666ae70d5cba,9b70b31c-68a9-4f0c-a5ba-61cc22a8f6a6,a8a73ad7-7755-4316-90ad-35110cf744cc,73107b58-4116-4b58-b791-697e895f55c9,288.52,108.17,,97,5/10/2016,bb63c9aa-5041-4a6c-990b-38b22b903a61,,,false
b899a513-26ec-463f-9f9e-0e7b21a274d1,83c7c527-9089-42ac-b5fc-9115a6b288d9,052adc42-ca9f-462b-904e-9874d0db4506,cbb68ebe-9038-48aa-8e7b-ed2eb66fb597,204.03,179.02,,2,7/1/2015,2c555dc0-d66d-4712-a10c-2360fbf5c08d,,,false
5c09a17a-8dde-4bd7-be9c-d29350302069,da9d9a34-384d-4ae2-92e8-02e50b7f31ab,6360cae8-3417-437d-9eff-6d1c08d615ed,30051a8c-1511-41d9-8e34-4e80cda375f8,182.03,,,60,7/25/2015,02184298-5d54-4da1-a15b-8fcba613b5dc,,,false
fac63ac3-937c-45e5-bef3-33d0017315d4,df4a8bc5-68f6-41f4-8a18-91418ad5d657,6972e4ea-580d-461d-bb8a-a7a3dba09a02,822a5066-17ae-4b67-9703-1cd39d5aa777,198.04,,,45,6/18/2016,d7312522-07b8-4a32-9abb-df199a6b23ad,,,false
6c4d3f3b-4cdc-4c12-a1a8-62c9a2565552,cf497fb8-6f3d-4a28-8791-95abcc72d1ad,0d2122ed-e7c6-44c1-a619-7a670453521a,5ade5752-4fdc-4b56-afa2-51d01965daf8,398.26,2.17,,29,3/9/2016,e014a683-8b5b-4b59-94b1-01947e6e3f1f,,,false
