organization_id,review_id,rating,comment,user_id,approved,approved_by,created,created_by,updated,updated_by,active
4de14334-567b-4f06-a87f-bc7fe58c1896,613ee791-238c-4d11-a707-ebf81e0d70b7,4,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0d834000-1de2-43d8-a1bf-9b9bd6896bd3,false,0ce3d023-88a0-4ae5-8fa8-bc1397fbec98,8/14/2015,12385524-f233-49ed-8699-99ab4cc7986a,,,false
8262e7cd-2ec2-42a0-bd93-7dd07281fb8b,244dd0ca-55f1-4bec-990c-cb323249b2d9,2,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",423312f8-f046-46f7-8a1a-9a4b97b1a716,true,f3c5e1e4-4f1f-46bc-8d0f-2dc28af5b8eb,12/15/2015,ece7e3a5-d227-4069-85a1-5e732b7019fe,,,false
ded79b80-da9a-416f-8620-357430a897e4,c45bddc7-bb77-4977-8fb5-7c82a62060ff,5,,a79814c0-cdda-417c-880a-dbad07cded38,true,fa423505-42f0-4dca-b004-f04ee3535dd4,5/15/2016,c48ad69c-c16b-476e-9491-fa1556d74ab7,,,true
9b1fef42-20e8-4ac4-889f-ab890421b428,72132a9e-7b84-48ed-9e1d-38bf02445246,4,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",8a298a46-c4a6-4ce5-b382-e1ad1d577ef2,true,8bec1cfd-35dc-48f4-927b-8dda098d0c44,10/14/2015,1f200897-38de-4d7a-af1e-f9c5a797b267,,,false
e62cc567-aaf0-4f6b-856e-58914d911648,147fdf0e-9653-4e68-ad43-183c7105c0ca,3,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.",0dddfdb3-32a5-4ba4-9130-e8a38827e10a,true,82d87c25-4c2a-457e-a447-ec161726714c,2/13/2016,abe524b1-1f24-4b81-a235-f892d5bb558a,,,true
fd953fff-45fb-4d8d-b281-6c4a584e0c1a,ddb5dc8d-f0f0-4538-a529-672c244981c1,2,Nulla suscipit ligula in lacus.,0cab43b7-2e14-4a86-a22f-494d8ca5d35c,true,681af2e8-dda2-4d3d-90f9-df0fca88d14f,1/29/2016,52fb22e2-eec1-4691-9564-e48150f7c7ca,,,true
4b24573e-bcdd-48c1-b614-0437a001abdc,54b624e3-8c1c-452c-8a8f-668361044664,2,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",b1fde175-8464-41e0-8769-bf974fa6ffd8,false,a79814c0-cdda-417c-880a-dbad07cded38,12/21/2015,ffb9510a-7d97-431f-86af-e4795699acd5,,,true
a5523454-7d5d-4752-8fca-d812353d5261,3fd42f41-ec22-4acd-84c2-97d66ad47d47,2,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",b9288df0-974e-4a38-b9ad-376a190ec3cc,false,3eb854a2-6f68-4aac-bdb7-66e05b84a568,8/17/2015,227c0515-eb11-44d7-baee-95c280de35bd,,,false
b2ecd1e5-5678-42d6-8c8d-0b6589888242,c7181a73-c4d3-4582-a080-95bbceab893a,3,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",36711ea9-db20-4a37-9ac3-a0af26eeebbd,true,7fe0e787-e428-40ff-b23a-e165e5a939f1,12/24/2015,bea18a8e-8eda-4050-853e-5bde0ca6e999,,,false
85c746e4-56be-4cf5-9ec1-0db799c85c0a,0f4fe0e7-6180-4dfd-bf9e-4d171109bdff,3,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.",19f448d8-4763-4dd5-abfc-5088b698bae9,false,b570bee0-8200-4423-805b-26dba4941bbe,8/9/2015,31672f6f-8bb9-40cb-9f0c-537372be1ce2,,,false
