product_id,category_id,created,created_by,updated,updated_by
f4e01cc5-89ca-4c7f-bb65-7b864707857b,9bd673f2-1f8b-4a69-957b-2e135b5de64f,5/22/2016,,,
de7e53cf-7ed3-475b-9fb3-28a403422e2d,1abeb3cd-8da8-4cc3-867f-10716bc168c2,1/28/2016,,,
df6e640c-ff70-4665-8ad3-b5d25fa2c9ca,0c0a2f66-a936-4741-bbe2-f43ad794e040,5/3/2016,,,
956a6861-e892-41e6-b56b-3ad534aaa8fe,9bd673f2-1f8b-4a69-957b-2e135b5de64f,12/30/2015,,,
2edf51e7-1475-49fe-8706-9266dcedbe14,700acc29-9651-4a7c-a0b4-1a1fb07e93a9,3/15/2016,,,
4b018d66-1053-4435-a53e-aa3092c3843d,6933121c-69dc-47be-aff2-a0762b81d451,11/16/2015,,,
4abecc51-0dea-4458-b7e0-77887c148194,952cfb6b-82db-4895-8072-1d949662f99d,7/19/2015,19f448d8-4763-4dd5-abfc-5088b698bae9,4/1/2016,741a5710-9579-4bbd-b161-568928a00dfc
9861101c-d6e0-4fc6-9458-8afbc3d8515a,952cfb6b-82db-4895-8072-1d949662f99d,3/19/2016,,,
7a1b96d0-eaf3-4d83-9a80-d7300727eb3e,d0854743-acec-42dc-8ad7-4801bafa729d,4/20/2016,,,
fc2d359d-adf4-4ab4-bda0-1cec0e193679,1abeb3cd-8da8-4cc3-867f-10716bc168c2,6/16/2016,,,
2e4a279f-dc75-4025-adbc-684250523fbd,8c1699ac-2d2e-4128-936d-c447d7f77cbb,2/26/2016,,,
704da201-39a8-49b9-970e-141adaca295f,96713995-3efa-43e5-b910-48a2d1273e1b,10/14/2015,,,
3377a57b-3050-4951-825f-0f9d268b84a6,e0791417-9f1a-4909-9915-a02e8002d65b,4/15/2016,,,
50006cbb-a193-477e-bf3d-17e73a4c3dbf,700acc29-9651-4a7c-a0b4-1a1fb07e93a9,8/12/2015,,,
dc13fac7-6d89-42a8-933f-43366f1d4587,1abeb3cd-8da8-4cc3-867f-10716bc168c2,5/14/2016,53aa65c8-5025-4ddd-bc96-dcdb9193d330,5/4/2016,b570bee0-8200-4423-805b-26dba4941bbe
a767b40e-15e5-43a0-a2b7-17938c091d3d,04a0aad1-af2b-4a2a-92e0-a811946ece0c,2/21/2016,,,
c2e3e10a-9d7a-4e7b-8083-fd7787ef956e,d0854743-acec-42dc-8ad7-4801bafa729d,9/16/2015,9680f682-0e02-47ec-b5c6-e6db7d286dc6,6/26/2016,40d5db54-b9f1-4e45-8049-f490129d64d5
ec6efd51-f74d-4ffb-8bef-53772a8ed2ff,3b6da08e-ba56-44c1-9930-00d084576355,10/22/2015,,,
2d6e602f-7bfb-480b-a696-9dca5f16d9d1,2a1a8d1d-8123-49ae-8adc-34318b7d4f5e,12/11/2015,,,
6fb2e301-749a-439d-800b-9ce91c80cfa3,d0854743-acec-42dc-8ad7-4801bafa729d,3/8/2016,,,
295230e4-6bef-49bd-af97-c6f67301069d,e0791417-9f1a-4909-9915-a02e8002d65b,8/12/2015,,,
3b2ec2c0-f197-4c95-819e-fb57bed1b77d,9bd673f2-1f8b-4a69-957b-2e135b5de64f,9/14/2015,,,
52cd1c15-bc00-49c9-9ccf-b79471c59da0,2a1a8d1d-8123-49ae-8adc-34318b7d4f5e,2/28/2016,,,
356b953a-5507-44b4-86c2-a394984869bb,9bd673f2-1f8b-4a69-957b-2e135b5de64f,5/31/2016,,,
6529b279-2efb-41dd-b58f-cce87641b0ae,700acc29-9651-4a7c-a0b4-1a1fb07e93a9,3/17/2016,,,
5ca1e2d3-d9d6-466e-a862-9191007bfe71,1abeb3cd-8da8-4cc3-867f-10716bc168c2,8/15/2015,eacf1e2a-ff63-4a88-b045-2601e06d2c58,9/29/2015,9ff45ffa-cf04-44af-b3d9-02ecead11bf2
2b692b5a-f96e-4426-bf8b-db0c1d3c537a,42a7049c-17eb-4a35-b4d4-c0f562fff223,5/6/2016,,,
1bc12d95-ed5c-4235-a42a-9e4cd6f7596a,8c1699ac-2d2e-4128-936d-c447d7f77cbb,4/12/2016,,,
7d0d69be-ec69-48a8-b521-6fd3a21a5bd9,cb779c58-4538-4efd-aefe-efd63f98a1b4,7/21/2015,,,
d0f7d76a-bf45-429c-99af-ae279b419fed,cb779c58-4538-4efd-aefe-efd63f98a1b4,7/11/2015,,,
