product_id,available,always_available,stocks,available_from,available_until,available_day,open_time,close_time,created,created_by,updated,updated_by
f4e01cc5-89ca-4c7f-bb65-7b864707857b,false,false,79,8/28/2015,12/11/2015,,19:43,7:45,12/22/2015,4868073b-ba73-4c14-862e-b06609daf3a5,,
de7e53cf-7ed3-475b-9fb3-28a403422e2d,false,false,44,8/14/2015,6/9/2016,,22:55,23:11,12/13/2015,abd37d54-98ba-4e56-a011-7282b69be0c9,8/13/2015,47924f33-c49d-4e85-9e38-c20bce9d0ef3
df6e640c-ff70-4665-8ad3-b5d25fa2c9ca,false,true,9,6/20/2016,10/17/2015,,10:23,8:58,7/9/2015,fba10bb3-076c-4e7c-87db-880a483ab7a6,,
956a6861-e892-41e6-b56b-3ad534aaa8fe,true,false,34,8/27/2015,11/19/2015,,15:08,7:49,10/14/2015,a1da8dba-0147-4ae3-8ff1-54df24e5a0f3,,
2edf51e7-1475-49fe-8706-9266dcedbe14,false,true,6,1/29/2016,12/28/2015,,9:45,21:54,8/16/2015,6a21d75f-383d-4df3-a68a-4ee55587b9f8,,
4b018d66-1053-4435-a53e-aa3092c3843d,true,false,55,6/15/2016,10/29/2015,,9:23,19:52,5/23/2016,1db5798a-9779-4104-868b-3b8843e197d9,,
4abecc51-0dea-4458-b7e0-77887c148194,true,false,47,10/26/2015,3/6/2016,,14:02,23:29,5/25/2016,dc6abe2b-0661-40a9-b040-e1f1001dbaa0,,
9861101c-d6e0-4fc6-9458-8afbc3d8515a,false,true,24,3/8/2016,4/17/2016,,11:53,23:40,10/3/2015,db24db5d-0565-4920-8d9f-52014b6cf1d1,,
7a1b96d0-eaf3-4d83-9a80-d7300727eb3e,true,false,10,6/8/2016,1/27/2016,,6:42,17:26,4/13/2016,d23203c1-defb-4cbc-9732-191d0363356b,,
fc2d359d-adf4-4ab4-bda0-1cec0e193679,false,true,95,4/9/2016,6/18/2016,,7:40,17:22,6/26/2016,6077188c-604e-4e77-bb33-821f35545318,,
2e4a279f-dc75-4025-adbc-684250523fbd,false,false,27,12/27/2015,7/22/2015,,3:37,21:42,12/1/2015,d1b5a8ff-fa2c-4251-bc2a-4b71c2580de7,,
704da201-39a8-49b9-970e-141adaca295f,false,false,47,8/30/2015,7/6/2015,,6:18,20:45,4/17/2016,3a9ff1b2-48e5-4545-94dc-18030172b5e8,6/5/2016,4200ffd0-19d0-49a7-bb69-6f2f78daf39a
3377a57b-3050-4951-825f-0f9d268b84a6,false,false,72,7/15/2015,4/5/2016,,21:02,2:46,12/19/2015,45e83c10-2c14-4d6a-ac1b-f9c34a919fe1,,
50006cbb-a193-477e-bf3d-17e73a4c3dbf,false,false,33,10/17/2015,8/27/2015,,21:50,22:29,8/3/2015,6077188c-604e-4e77-bb33-821f35545318,,
dc13fac7-6d89-42a8-933f-43366f1d4587,false,true,80,1/8/2016,1/18/2016,,20:02,5:19,2/26/2016,9272c6ca-2949-443d-ba73-27ac9c1fe08c,,
a767b40e-15e5-43a0-a2b7-17938c091d3d,true,true,59,5/10/2016,2/6/2016,,0:14,20:15,12/15/2015,c9c85368-3781-4212-bd58-085a47e2926a,,
c2e3e10a-9d7a-4e7b-8083-fd7787ef956e,true,false,37,6/24/2016,7/17/2015,,10:56,0:48,4/6/2016,ecf427ed-4ebc-4139-85b7-97d52e831fbd,,
ec6efd51-f74d-4ffb-8bef-53772a8ed2ff,false,true,14,4/22/2016,5/7/2016,,21:22,13:20,12/16/2015,3cadde19-696b-4749-a3a5-fa715989528c,11/4/2015,275ff048-57e5-4fd3-a722-472d24c50df0
2d6e602f-7bfb-480b-a696-9dca5f16d9d1,false,true,76,2/27/2016,9/15/2015,,20:16,2:02,6/30/2015,4200ffd0-19d0-49a7-bb69-6f2f78daf39a,,
6fb2e301-749a-439d-800b-9ce91c80cfa3,true,false,23,10/19/2015,8/19/2015,,2:19,7:19,8/5/2015,76b6fa6f-ef67-4ed1-8271-9a38cce4eb7d,,
295230e4-6bef-49bd-af97-c6f67301069d,true,false,22,11/28/2015,12/6/2015,,2:59,5:32,6/10/2016,4d26c7e6-a833-443b-a860-ee1155819532,,
3b2ec2c0-f197-4c95-819e-fb57bed1b77d,true,true,69,2/22/2016,2/10/2016,,3:08,17:31,2/7/2016,93772f0d-ab39-4c0a-91b9-853b7efcf36a,,
52cd1c15-bc00-49c9-9ccf-b79471c59da0,true,false,96,4/15/2016,6/19/2016,,9:38,19:02,11/15/2015,0de2d19c-4fa5-4879-ba8b-bc0ce83c1796,,
