organization_id,address_id,address,latitude,longitude,created,created_by,updated,updated_by,active
91f976a2-dadb-4370-8df0-98f6c1192bfb,0c505f33-226f-49ce-a215-a4cfd1e9478a,93866 Towne Street,57.37065,25.03106,10/11/2015,3e5f90ce-fba2-4c89-9891-fa71a396c1e0,,,false
90e9a66f-8a46-4851-8c09-69b2042e0a0a,af7989cc-ed9c-4f05-a298-156c9334d31e,07 Hauk Drive,16.41453,-3.67075,6/2/2016,d9e483b4-b874-4c20-a12b-52bfb442b796,,,true
cea006c8-705a-4593-a139-ad2f4804afc0,89a605a8-de64-4c4f-a351-9c65054408f2,40 Vidon Junction,41.56667,119.33333,1/28/2016,4610a585-d492-454a-b9ab-65c42eb7fa4d,,,true
7ad1c68d-f76f-4710-ad11-acbe3c4a8cd0,b8cb0d80-74ea-4f3e-8053-2bf85902575c,6 Mitchell Court,29.87056,118.29528,11/19/2015,1e80ac98-be4e-45f9-a7d1-6a979306fe44,,,true
04132431-5807-477b-999a-e38a47fa3d2b,2f137ca9-cde6-4dfc-be38-89da273a4f4f,09 Mcguire Plaza,,,9/6/2015,dd987a2b-67da-44d5-a2f2-66663ac05e98,,,false
e51fa5ea-ae95-4468-804d-d489bf5ae8f7,d073c50c-997d-4ad0-a3a3-feb6d5d88e53,5 Boyd Avenue,47.9167,7.2,11/13/2015,f9fceaf2-bf55-49e0-bafc-7e371dc6e3fb,8/5/2015,f68ac176-7a82-4faf-bd4f-70757a1935c7,true
fac63ac3-937c-45e5-bef3-33d0017315d4,003fb371-361d-492e-a494-aea889278ae0,6810 Hanover Terrace,57.6664,14.972,6/8/2016,ada5cad0-f1b8-4eae-8a07-d89116ae9c91,,,true
69bcccde-b55b-4bed-8630-9625ba58d1f7,0e48c148-858d-4a00-8492-cebf889cecac,271 Ohio Court,-18.41917,-49.21528,11/7/2015,4cb6e282-e461-4b33-88c7-e1fbe5bc04fb,,,false
61bbb375-843d-4879-84ce-ae59916873af,1ae242cd-5a9b-4578-a82e-aae7be488384,02639 Scott Place,45.30861,14.53028,7/18/2015,0f246858-b01e-4359-8a6f-d95e7a0a11ac,,,false
736056e5-6544-453c-839e-e31a3ec1c6cd,d27fbb52-0622-4891-9549-f888a2e5b7ae,7 Hayes Lane,15.81421,44.04085,3/13/2016,fc63d735-92e2-4f8e-9c33-9454f4222394,,,true
c012218c-f595-459a-9f7b-0561a9592d13,462e758a-bc4c-4ed0-8219-f1f6c5290a8d,6 Leroy Plaza,-8.17111,112.67748,8/24/2015,ead30872-7b74-40f5-872a-585fdcb332f7,,,false
ba17fd0e-d9f9-4c9f-a491-8af560b52cc8,c92f2adf-64fd-4cef-afc0-886e1a45931c,41 Johnson Crossing,30.09254,120.06633,6/15/2016,d3eda5cc-ae30-4ad3-b77e-a0008b586064,,,false
625e4706-98f9-423b-9d33-3879ed0d8898,f8984e72-c606-4c1c-b900-983375ac7665,01 Grayhawk Street,43.05,23.4,8/15/2015,d04c4803-c32c-47b3-8b31-81422bd37c68,,,true
401748eb-d074-4f84-8622-861a96f70122,e2e89ab4-c726-4b52-85ba-3287ea3fb39b,5975 Pankratz Park,-1.06344,34.47313,5/29/2016,520fa202-9bdd-472a-ae1b-c87639c07ef2,,,false
6a96892f-2f1d-437b-ba45-12e15f1cfcb2,ab2f3ccc-59fa-446e-9ab9-739f26700f60,20558 Bashford Center,35.56277,67.82191,7/2/2015,b0fb0ee8-4886-4b95-bb1b-64934eb79bfd,,,false
