organization_id,country_id,name,code,created,created_by,updated,updated_by,active
51893d4f-95e5-4ec2-bace-81d701cc7ed9,565e1a5d-3acc-41a5-a0cd-f57e36c35604,Indonesia,ID,11/30/2015,f702d93a-b1b2-4f4e-ace1-9ddbed92888f,,,false
73558a29-7d38-4135-993f-5c5f0152ef57,9ce0c496-cc66-4f8c-8a33-ba0f0ce7ef93,Iran,IR,5/16/2016,a8b2049f-bd00-4248-84f7-89a362f2ebd2,,,false
0e20fb9b-bbe2-4ffa-8979-8fcb3e2e1a45,ce39ce49-3d98-4665-9bd8-9053a8d41f2f,Colombia,CO,12/31/2015,8af26768-e169-4fe4-ab93-1098e2c33b37,12/10/2015,0dddfdb3-32a5-4ba4-9130-e8a38827e10a,false
ec8b7e86-cc31-46e4-ad43-a34b18545595,82df9356-ea05-4d6f-b165-63167b691573,Portugal,PT,11/18/2015,bbbc7a14-a52c-482b-bd80-9f0b16fb3c55,,,false
b572d84c-4a37-4430-bc8f-fe2fd384c326,339644bf-f7b4-46b8-b9a8-7666f313e3aa,Russia,RU,7/31/2015,655c1f03-3a0b-4d15-8d63-671a73788229,1/26/2016,6137cfc7-7534-45ba-b278-946aa3752934,false
1219ce8d-ec28-48d5-849f-c5e39cb90cff,dd9fee14-7515-4b1e-9271-f11605f3c7db,Sweden,SE,5/17/2016,97c017ac-8bb7-48f9-91b7-8c7e1e986db0,,,false
c5a51ab8-11ae-4c7f-b268-f716ceb7665e,a252f7e7-66ab-4fb2-a3d0-7c480e8c96e0,Albania,AL,10/1/2015,ec9c2878-f61c-4a26-b487-f041f31c87f1,,,false
7db80547-40cf-4f1c-8535-279b3a4815dc,8c2a7aff-02b5-4d4b-b5b8-2b8a81dd9c48,Peru,PE,8/9/2015,26069715-c218-4aab-91b4-be5e702d9762,,,true
818a3e24-e17d-4a54-9d90-94072194440a,0d17a6c5-ad83-4e2d-a94b-be5e39b8d8d9,Paraguay,PY,3/3/2016,0285a244-769b-43cd-ba73-ce7e8c19d5b6,,,true
ba17fd0e-d9f9-4c9f-a491-8af560b52cc8,366521f9-1a2f-4272-8117-54c40fa325c5,Luxembourg,LU,8/22/2015,2a190a59-098f-4159-8780-face053a96f0,,,false
9cc7429b-5d5a-4709-97f7-2a350cf19f9d,1abd194d-8374-43f1-9bff-19e1940b26b9,China,CN,12/6/2015,afef63e2-1439-4e7a-b002-358ae507af06,,,true
6b0b7b7f-0529-48bb-91f4-c789417ae0fc,0958462c-0379-4b6f-8bef-b1d49cb75119,Philippines,PH,12/11/2015,6d8ef0de-6e40-488a-b107-2af208cb87ee,,,false
633c4e4d-8f03-4de9-8cfa-cc7a254ab54d,a1c9b773-cab7-4768-954e-ed14945ebe73,Poland,PL,8/22/2015,f791b36f-21a9-4d43-9994-24b50794ffd1,,,false
e536c52f-984f-4f6f-a097-00734db7ea9f,6474d2c0-a4c6-40fa-a18e-6474e886c636,North Korea,KP,4/28/2016,f4fa251a-3968-4088-a738-6a50e1fc38ef,1/21/2016,c9c85368-3781-4212-bd58-085a47e2926a,true
267f658b-8bd2-4469-8ff9-6c6371e25142,91150c68-14f9-47c1-a18f-10d6357106d2,Slovenia,SI,12/3/2015,5051611b-40fc-45ad-bae4-32b046122dfd,,,false
c5155dd5-cc23-4820-8da0-9572436f35d8,af7d01f7-7296-4d89-a382-c6548278534c,Denmark,DK,2/22/2016,153df089-8552-466c-a8b5-e732e8d8c0c3,,,false
14a79489-7087-40e6-a5fd-eb8ba5626159,bd066b51-2a78-4e8b-9e04-9c8594ad60b6,Greece,GR,9/2/2015,d1a6a6b2-7065-426a-9b09-379e14e3d600,,,false
a9478d37-7add-47e8-a7d1-90c064a3d429,d222c802-0742-4f56-b31e-fd9498758a51,New Zealand,NZ,7/11/2015,f3c5e1e4-4f1f-46bc-8d0f-2dc28af5b8eb,,,false
18e6166f-a152-4ccf-ba39-6185fb07c51a,88a6f21c-da0c-4422-9969-1bb8f3f0723d,Brazil,BR,3/28/2016,67b7b633-0d9c-4b8c-b566-925842480c56,,,false
1eb72f6f-731a-4709-9685-38e87859181a,2b4cfabe-0e6a-44fe-a2cf-dd2410fb275b,Tanzania,TZ,3/10/2016,0957f00e-3761-466d-8580-688e5fd40e23,,,true
d07a51dd-f6ba-4ace-8182-6b3fe8e44720,62007a40-0586-4427-a5be-42793174d9e5,Mexico,MX,12/6/2015,b6dce48e-25be-430d-8032-411c6ccabd09,,,true
39b7b647-e862-41b5-b144-1180d27f2b18,a9765c06-6900-4429-be43-b55dda4bdc8a,Argentina,AR,1/10/2016,a1d1ff7f-195c-431f-9ab7-35cdb13442fc,,,false
2ec8e050-7742-4d34-9ec4-fd91cf7a4fac,108a04ba-627f-4354-b535-d56446c86270,Czech Republic,CZ,12/15/2015,83e13088-8cc1-4ac0-b356-00030bac4939,,,false
1b3498c3-d824-41d6-bf9f-dadbf7ecd0ec,5a58d841-5b6a-4ce8-a04d-1778d1f243a6,Canada,CA,4/29/2016,9112344a-8044-4736-9452-62f30c5e9c09,10/25/2015,aeebe211-622f-4e0f-893c-2115254ea48b,false
7daaaa90-6f01-4b1d-91d4-fca424f6a150,0cb5d741-a36f-4642-ac1b-affc2c7292a0,United States,US,10/27/2015,3230d99d-68e5-47b4-83a7-6be35babd865,,,false
c7c5fe27-90ae-4510-acfa-6b0e79821e83,bb2f2226-c676-4977-a5ae-c76bb34444f8,France,FR,4/16/2016,acecc122-3729-42ae-9e1c-e494a136ce5b,,,false
435e66e4-da18-4dfb-acd7-a1059522ea1f,ab7cb8ab-c78b-43f3-b508-6530aefe91b4,Thailand,TH,8/23/2015,9b5e6466-9c31-4602-ba4d-1b43166c6411,,,true
85f7867b-b2ff-4d5a-b883-6e7923f35181,6f37259c-2083-4303-ad03-c8d5e7005cc3,Guatemala,GT,10/12/2015,f03ef7af-aaff-44ec-a7b3-573a4f99321a,,,true
